act,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25
basketball,6.529842217023982,10.692956826853198,15.28201535247093,20.009623682776162,25.167356695130813,30.62638422056686,36.32284247819767,42.17860533248547,48.05452398255814,53.905916151889535,59.423051417151164,64.81618822674419,69.9553597383721,74.91840025436046,79.68605105377907,84.19324127906977,88.5135855741279,92.61670148982559,96.54352743459302,100.19669331395349,103.70053143168604,107.02365552325581,110.20176689680233,113.27983284883722,116.23088662790698
basketball_signal,1.672546281261941,2.986120180396689,4.403875080212071,6.018115143519903,7.863682180563862,9.907692194872242,12.098991268306005,14.464507034520784,16.93113125238819,19.413732111929328,21.93094143013191,24.5150451497915,27.155357543361244,29.816463748297117,32.487621057927136,35.12001997254619,37.717492435664205,40.31675591233054,42.85769560842803,45.31991351633108,47.87153686328748,50.42210187815657,52.98891944216009,55.55664101437899,58.12954976367291
directing_traffic,3.0627122352776905,5.629658100643583,8.478815676710415,11.724911962057963,15.427960848255767,19.529935142073406,23.969587572078595,28.72225251591878,33.71063592708106,38.87849248128006,44.02220452045529,49.29131132658778,54.63502140153585,60.021844340976166,65.40188792119862,70.73364716843845,75.97569076744917,81.1321271555258,86.20657798323404,91.12354775292414,95.96725334431024,100.66731372294491,105.21814450562965,109.6414841358767,113.91940946791648
jumping,8.625286216460267,15.882486727215557,23.168459802712203,30.56567836324497,38.0625642475329,45.625338118388804,53.21729951746323,60.769939914699435,68.21476312564499,75.51025592185887,82.53601943450077,89.23838404605263,95.49727187338752,101.21771599264706,106.3014655492131,110.78019079753612,114.59965170278637,117.85238688402993,120.64686230166409,123.09531612809597,125.40111725199948,127.53590000967492,129.52760477134933,131.44587082365842,133.28960873000517
running,8.732951164245605,13.793914794921875,17.23348617553711,20.049659729003906,23.000167846679688,24.607084274291992,25.78370475769043,27.784587860107422,30.662260055541992,33.39094924926758,35.14093780517578,37.053558349609375,39.09013366699219,41.203407287597656,42.60183334350586,42.729496002197266,41.67182540893555,40.117523193359375,38.563568115234375,37.48802947998047,36.46800994873047,37.329734802246094,39.31447982788086,40.98889923095703,44.799190521240234
soccer,7.249140625,12.127343478732639,16.78416449652778,21.332274305555554,26.056080729166666,30.71855251736111,35.460720486111114,40.26873046875,45.09186414930556,49.85328016493055,54.61454535590278,59.15336805555555,63.49247612847222,67.53715060763889,71.28898003472223,74.61766927083333,77.60018012152777,80.33023871527777,82.8660568576389,85.47953993055556,88.3193359375,91.16125434027778,93.90100694444445,96.45207465277778,98.79638454861112
walking,4.109793896945018,5.811745121793927,7.699226235443691,9.315079599056604,10.80157470703125,12.346640532871461,13.808026007886204,15.362007572965801,17.10435053987323,18.91281300670696,20.66901901533019,22.52816369398585,24.34193967423349,25.96377275574882,27.281268425707548,28.34627892836085,29.13797169811321,29.66457151017099,30.180111291273583,30.7338337448408,31.639392780807782,32.762253095518865,33.844123120577834,34.850754072081365,35.67985102815448
washwindow,2.7081313993230016,4.8932931743396395,7.294520351032248,10.018432447385166,13.066743670658981,16.38171846941628,19.895765443627685,23.517522242466303,27.159465049105428,30.78348291240467,34.2709028781238,37.70835205452861,41.05029339032821,44.28562246865707,47.376860729109204,50.3104431667606,53.11512031467347,55.760566389386874,58.252185156962,60.61929288499646,62.85820076416203,64.98192722323485,66.99660713857445,68.91613558742145,70.73119203768047
average,5.336300504442188,8.977189800612138,12.543070396330805,16.12922190407503,19.93076636562749,23.71791818373027,27.569617191420118,31.63351911773925,35.86612426018733,40.08111525003345,44.07595273209646,48.03804636285694,51.902231677085354,55.62054718199042,59.05324601439534,62.103873323217826,64.79143975290971,67.22385890623836,69.5145730936285,71.75702084395974,74.02817229031044,76.48551757441372,78.99908158092737,81.39146154574861,83.94700909064849
